Name,Requirements,Type,Benefit
"Arcane Background (Magic)","Novice","Background Edge","<p>Magic in the Weird West is not to be taken lightly. Those who practice sorcery must often wrestle their powers from the dark spirits of the Weird West, who are rarely willing to give up easily. Hucksters envision these duels of will as card games, and the best are capable of amazing powers. It is rumored that others tread even darker paths, and harness the power of blood magic.</p>"
"Arcane Background (Miracles)","Novice","Background Edge","<p>Certain characters can call upon the power of their deity (or deities) for aid. In the Weird West, these pious souls are called the blessed. Blessed are nuns, priests, or even average but (relatively) pure-hearted folks blessed by a divine entity. Though rare in the Weird West, there are also blessed imams, Buddhist monks, and others of faith running around with higher powers covering their holy backsides. When these folks behave themselves, they can sometimes invoke miracles to help them fight the evils of the Weird West.</p>"
"Arcane Background (Shamanism)","Novice","Background Edge","<p>Shamans are Indian holy men and women, and keepers of tribal medicine. Their power comes from bargains with the demanding spirits of the natural world. When these medicine men honor the nature spirits, they can accomplish amazing feats that make even the most doubting Thomas tremble.</p>"
"Arcane Background (Chi Mastery)","Novice, Martial Arts","Background Edge","<p>A few folks in the Weird West have studied the ancient oriental fighting arts. A very few of these supremely skilled fighters have achieved spiritual discipline necessary to channel supernatural force through their own bodies, called chi. These enlightened fighters use the Arcane Background (Chi Mastery) Edge to reflect their astonishing abilities.</p>"
"Arcane Background (Weird Science)","Novice","Background Edge","<p>Adherents to the principles of New Science (called Mad Scientists by most) build weird and wonderful devices, machines which often seem to defy the very laws of reality. Most every such inventor (or at least the successful ones) rely on ghost rock to power their inventions in some fashion.</p>"
"Arcane Background (Black Magic)","Novice","Background Edge","<p>Unless otherwise stated, Arcane Background (Black Magic) works exactly like Arcane Background (Magic) from the <i>Savage Worlds</i> rulebook. Folks who know black magic have willingly given themselves and their souls to evil in return for a measure of infernal power. Which is to say they've gone <i>bad</i> and they've got no regrets to speak of.</p>"
"Conviction","Novice, Arcane Background (Miracles), Spirit d6+, Faith d6+","Blessed Edge","<p>Some holy rollers seem to have the ear of the Almighty, and this lucky cuss seems to be just one such individual. He's more successful than most when petitioning the Lord with prayer, and his humble calls for divine assistance are answered regularly.</p><p>This hero gains a +2 modifier to all Faith rolls made to call down miracles.</p>"
"Flock","Seasoned, Arcane Background (Miracles), Spirit d8+, Faith d8+","Blessed Edge","<p>The greatest prophets and preachers are attended by followers. These men and women have found salvation of one sort or another in the blessed, and devoted their lives to his cause.</p><p>Flock gives your padre five followers who serve at his side in whatever capacity you choose. They have the stats of Townsfolk (see the <i>Marshal's Handbook</i>), though they can gain skills just like any other Allies. They come with nothing but the clothes on their back and a few dollars, but can be armed and outfitted however the blessed sees fit.</p><p>Members of the Flock who perish are slowly replaced over time (usually by giving a "revival"). The Edge may not be taken more than once until the blessed is Legendary. At that point he may take it as many times as he'd like (as well as the Followers Edge, if he so chooses).</p>"
"Voodoo","Novice, Arcane Background (Miracles), Spirit d8+, Faith d6+","Blessed Edge","<p>Voodoo works the same as other miracles, it just comes from a different place; powerful spirits named loa. Player character houngans (males) and mambos (females) get their power from <i>rada</i>, the "good guys" in the voodoo religion. (Evil voodooists get their mojo from <i>petro</i>.)</p><p>Voodoo priests must prepare their abilities ahead of time in elaborate rituals (this is where all that dancing around the fire and sacrificing chickens comes in). Each night the voodooist must contact the loa and enlist their aid for the day to come. With a Faith of d4, the ritual must last at least four hours. For each die type above d4, the time required is reduced by 30 minutes. So a houngan with Faith d8 must chant and dance for three hours in the evening to be able to call upon the spirits the next day. If the ritual is not completed, the voodooist cannot call on any miracles the next day. During the ritual, the individual's powers are focused into charms-rocks, feathers, chicken bones, and squishy stuff-carried in medicine bags, on a necklace, and so on.</p><p>When he wants to call on the power of a loa, the houngan takes an action to use a charm. He hurls a bone as an attack, rubs a cat's tooth for armor, and so on. Then he can make his Faith roll, look for raises, and so on. The charm is used up afterwards. If a voodooist is separated from his charms, he cannot work any miracles.</p><p>The upside to the inconvenience of nightly rituals is that Voodoo practitioners gain access to powers that other blessed characters do not. Most of these powers deal with curses, control, and contacting loas, the bread and butter of Voodoo. The additional powers are <i>curse, fear, mind rider, puppet, vision quest,</i> and <i>zombie</i>.</p><p>Finally, a voodoo practitioner is freed from the restrictions of the Sinnin' table. He or she is still fatigued if a power fails, and can still suffer the effects of a crisis of faith like other blessed characters, but mambos and houngans are not bound by Christian beliefs.</p>"
"Dealer's Choice","Novice, Arcane Background (Magic), Spellcasting d6+","Huckster Edge","<p>Your hero's never happier than when he has a deck of cards in his hands. Poker, faro, even patience, this huckster has card games in his blood.</p><p>Any time you are dealt a card for any reason, after you have looked at it you can choose to spend a Fate Chip to discard and draw another card.</p>"
"High Roller","Seasoned, Arcane Background (Magic), Spellcasting d6+, Guts d8+","Huckster Edge","<p>Go high or go home is your motto. You don't bother with lesser manitous. When dealing with the devil, your hombre draws an extra card. He may still only use five cards to form the hand, but now he has more choices.</p>"
"Improved High Roller","Veteran, High Roller.","Huckster Edge","<p>This Edge functions like High Roller, only the spellslinger draws two extra cards instead of one.</p>"
"Old Hand","Heroic, Arcane Background (Magic), Spellcasting d10+","Huckster Edge","<p>With knowledge comes power, and you know when to say when.</p><p>When dealing with the devil, red Jokers are wild cards but don't cause Backfire. Black Jokers still bring the pain as usual. (Make sure you can tell the difference before drawing cards.)</p>"
"Whateley Blood","Novice, Arcane Background (Magic)","Huckster Edge","<p>Somewhere in your family tree is a crooked branch called the "Whateleys." This twisted family of inbred witches and warlocks are well-known by arcane types as being both extremely powerful, and extremely crazy. It's a dangerous combination.</p><p>Many of the Whateleys are deformed, though your hero doesn't have to be (take the appropriate Hindrance if he is). All have some tell-tale mark-pale skin, jet black hair, long fingernails, sallow complexion, and so on, and all have green eyes.</p><p>Whatever mark you choose, there's something about their tainted blood that just puts folks off, and gives your descendant -2 Charisma.</p><p>It's entirely unfair, and we know it, but a female with Whateley blood can choose if her tell is unsettling (-2 Charisma) or exotic (+2 Charisma). We'll repeat it one more time. We know it ain't fair, so don't write to us whining about the "free Edge" sister Whateley got that her little brother didn't. (She'll have her hands full fending off suitors foolish enough to think about joining the family anyway.)</p><p>Now for the meat of what this Edge is all about. Hucksters with Whateley spirit running through their veins have learned "blood magic." They can voluntarily suffer a Fatigue level for 2 Power Points. They can suffer a wound for 1d6+1 Power Points. This is done exactly as you'd think it'd be-by cutting, carving, or otherwise maiming themselves. This is a free action-they're quick, those Whateleys- and so can be done in the same action as the spell they so desperately need to cast, with no multi-action penalty.</p><p>Since this is a free and instant action, the Whateley can actually render himself incapacitated and still get his spell off, if he should choose to do so. Good luck waking with your gear still in your pack, however.</p>"
"Fetish Creator","Novice, Arcane Background (Shamanism), Smarts d8+, Spirit d8+, Tribal Medicine d8+","Shaman Edge","<p>This is a shamanic version of the Gadgeteer Edge.</p><p>Once per game session, the shaman can create a magic talisman and imbue it with arcane energy. The device uses any power available to the shaman (though this is still subject to Rank restrictions). It has half the creator's Power points and once these are used up they do not recharge. The ritual to imbue the object takes 1d20 minutes. Activating the device requires a Spirit roll.</p>"
