Name,Requirements,Type,Benefit
"Action Boost","Wild Card, Seasoned","Combat Edge","<p>The adventurer's Wild Die increases one die size when spending a Prophecy Shard to reroll a Trait roll.</p>"
"Action Surge","Wild Card, Seasoned","Combat Edge","<p>The adventurer can spend a Prophecy Shard to take one additional action on her turn. This action does not add or include a Multi-Action penalty. Any other actions on that turn are still accounted for when determining the penalty for those other actions.</p>"
"Adamantine Body","Novice, Warforged.","Edge","<p>The warforged was created from a specially designed line made with adamantine giving him +4 Armor instead of the normal +2 from Composite Plating.</p><p><b>Special: </b>This Edge must be taken during character creation.</p>"
"Arcane Background (Aberrant Dragonmark)","Novice","Background Edge","<p><b>Arcane Skill: </b>Focus (Spirit)</p><p><b>Starting Powers: </b>1</p><p><b>Power Points: </b>15</p><p>This Arcane Background is only available to dragonmarked races. Adventurers with a true dragonmark cannot select this Arcane Background as well.</p><p>The adventurer bears an aberrant dragonmark, descended from a bloodline of a corrupted dragonmarked family.</p><p>Each time the adventurer selects the New Power or Power Points Edge for this Arcane Background, her dragonmark changes into a larger, more complex pattern and increases in power.</p><p><b>Powers: </b><i>Blast, blind, bolt, lower Trait, burrow, burst, confusion, damage field, drain Power Points, drain years, elemental manipulation (fire), entangle, fear, havoc, healing, illusion, intangibility, invisibility, jet, legerdemain, levitate, light/darkness, mend, mind link, mind reading, mind wipe, nightmares, object reading, protection, puppet, quake, relief, resurrection, shape change, sloth/speed, slumber, smite, sound/silence, speak language, spirit shield, strength of the dead, stun, summon ally, summon demon, summon elemental, summon spirit, suppress lycanthropy, telekinesis, teleport, wall walker, warrior's gift, zombie</i></p><p><b>Special: </b>Characters with this Edge also have the Outsider Hindrance, but do not gain additional points.</p>"
"Arcane Background (Dragonmark)","Novice","Background Edge","<p><b>Arcane Skill: </b>Focus (Spirit)</p><p><b>Starting Powers: </b>1</p><p><b>Power Points: </b>15</p><p>This Arcane Background is only available to dragonmarked races. Adventurers with an Aberrant Dragonmark cannot select this Arcane Background as well.</p><p>The adventurer has a dragonmark as appropriate to his race. The dragonmark grants the ability to use dragonmark focus items and a power granted by that specific mark for which he meets the Rank requirement. The mark also grants a bonus to specific skills as indicated in the mark's description listed below.</p><p>Each time the adventurer selects the New Power or Power Points Edge for this Arcane Background, the dragonmark changes into a larger, more complex pattern and increases in power.</p><h>DRAGONMARK ABILITIES</h><table><tr><td><b>MARK</b></td><td><b>RACE</b></td><td colspan="2"><b>SKILL BONUS</b></td><td colspan="2"><b>POWERS</b></td></tr><tr><td>Mark of Detection</td><td>Half-elf</td><td colspan="2">+1 to Persuasion and Intimidation rolls related to <b>Networking </b>(see <i>Savage Worlds </i>core rules)</td><td colspan="2"><i>Darksight, detect arcana, divination</i></td></tr><tr><td>Mark of Finding</td><td>Half-orc or human</td><td colspan="2">+1 to Survival rolls</td><td colspan="2"><i>Farsight, light, object reading</i></td></tr><tr><td>Mark of Handling</td><td>Human</td><td colspan="2">+1 to Riding or Persuasion when dealing with animals (choose one)</td><td colspan="2"><i>Beast friend, boost trait </i>(animals only), <i>empathy </i>(animals only)</td></tr><tr><td>Mark of Healing</td><td>Halfling</td><td colspan="2">+1 to Healing rolls</td><td colspan="2">Boost Vigor, healing, relief</td></tr><tr><td>Mark of Hospitality</td><td>Halfling</td><td colspan="2">+1 to Persuasion when dealing with creatures of at least human intelligence</td><td colspan="2"><i>Empathy </i>(species of human intelligence only), <i>elemental manipulation </i>(air, fire, and water only), <i>slumber</i></td></tr><tr><td>Mark of Making</td><td>Human</td><td colspan="2">+1 to Repair rolls</td><td colspan="2"><i>Drain Power Points </i>(arcane devices only), <i>repairing, mend</i></td></tr><tr><td>Mark of Passage</td><td>Human</td><td colspan="2">+1 to Driving or Riding rolls</td><td colspan="2"><i>Fly, speed, teleport</i></td></tr><tr><td>Mark of Scribing</td><td>Gnome</td><td colspan="2">+1 to Research rolls</td><td colspan="2"><i>Magic mark, secret writing, speak language</i></td></tr><tr><td>Mark of Sentinel</td><td>Human</td><td colspan="2">+1 to Fighting rolls</td><td colspan="2"><i>Deflection, protection, warrior's gift</i></td></tr><tr><td>Mark of Shadow</td><td>Elf</td><td colspan="2">+1 to Stealth rolls</td><td colspan="2"><i>Darkness, disguise, illusion</i></td></tr><tr><td>Mark of Storm</td><td>Half-elf</td><td colspan="2">+1 to Boating or Piloting rolls (choose one)</td><td colspan="2"><i>Elemental manipulation </i>(air and water only), <i>settle storm, zephyr</i></td></tr><tr><td>Mark of Warding</td><td>Dwarf</td><td colspan="2">+1 to Notice or Thievery rolls related to locks or traps (choose one)</td><td colspan="2"><i>Arcane protection, barrier, summon ally (sentinel)</i></td></tr></table>"
"Arcane Background (Druidism)","Novice","Background Edge","<p><b>Arcane Skill: </b>Druidism (Spirit)</p><p><b>Starting Powers: </b>3</p><p><b>Power Points: </b>10</p><p><b>Powers: </b><i>Analyze foe, barrier, beast friend, blast, blind, bolt, boost/lower Trait, burrow, burst, concentrate, darksight, deflection, detect/conceal arcana, dispel, divination, drain Power Points, elemental manipulation, empathy </i>(animals only), <i>entangle, environmental protection, farsight, fly, growth/shrink, havoc, healing, invisibility, jet, mind link </i>(animals only), <i>object reading, protection, puppet, quake, relief, settle storm, shape change, sloth/speed, smite, storm, summon ally, summon elemental, suppress lycanthropy, wall walker, water walk, zephyr</i></p><p><b>Activation: </b>Druids must be able to speak and gesture (they cannot be Bound as per the <i>Savage Worlds </i>core rules) to cast their spells.</p><p><b>Environments: </b>Modifiers apply to Druidism rolls based on the environment in which they are using their powers. While druids are typically powerful in natural environments, they suffer penalties while within artificial or worked structures which block the natural magic flowing within the Dragon Between.</p><h>ENVIRONMENT MODIFIERS</h><table><tr><td><b>MOD</b></td><td colspan="3"><b>ENVIRONMENT</b></td></tr><tr><td>+2</td><td colspan="3">In the wild</td></tr><tr><td>0</td><td colspan="3">Rural (farm, worked cavern, mine)</td></tr><tr><td>–2</td><td colspan="3">Urban (town or city, artificial structures)</td></tr></table>"
"Arcane Background (Magewright)","Novice","Background Edge","<p><b>Arcane Skill: </b>Magewrighting (Smarts)</p><p><b>Starting Powers: </b>2</p><p><b>Power Points: </b>15</p><p>Magewrighting is simply a renaming of Weird Science to better fit Eberron. Magewrights use their skills to create magic devices that assist with providing services (or weaponry). These creations always require the use of Eberron dragonshards, either in the form of a shard that is embedded in the device or ground and infused into the materials.</p><p>Magewrights can create arcane devices with any power except the following: <i>empathy, mind link, mind reading, mind wipe, telekinesis.</i></p><p>Magewrights cannot use the Jury Rig feature of Weird Science.</p><p>For more details about this Arcane Background, refer to <b>Arcane Background (Weird Science) </b>in the <i>Savage Worlds </i>core book.</p>"
"Artificer","Seasoned, Arcane Background (Any)","Power Edge","<p>As presented in the <i>Savage Worlds </i>core rules, but with the following modifications.</p><p>All items created require the crafter to create or obtain a schema of the arcane device's design.</p><p>Consumable items such as potions or herbal remedies require the arcane skill roll upon creation rather than at the time of use. The creator knows immediately whether her arcane skill roll succeeded or failed.</p><p>Optionally, the artificer can use a small Eberron shard as a source of Power Points for the arcane device instead of her own.</p>"
"Attune Arcane Weapon","Seasoned, Craft Arcane Device","Power Edge","<p>Some artificers become adept at eking every advantage out of an arcane device's enchanted qualities.</p><p>When wielding a weapon that is an arcane device, artificers with this Edge gain a +1 bonus on attack and damage rolls. They must spend 24 hours with a newly acquired magic weapon before they can gain this benefit when wielding it.</p>"
"Beast Master","Novice, Spirit d8+","Weird Edge","<p>An adventurer can select a magebred animal for this Edge, but the magebred animal must be purchased from House Vadalis. The cost is twice that of its normal counterpart.</p>"
