Name,Requirements,Type,Benefit
"Allure","Telesma","Edge","<p>Your character’s Telesma is sexy, convincing or some combination of the two. This benefit is shared telepathically, granting your character +1 Charisma.</p>"
"Anubite","Spirit d6+\n","Edge - Background, Racial\n","<p>Anubis’ children resemble their father greatly, being human but with the head of a black-furred jackal. They usually have dark blue or green eyes, though other eye colors are possible. They prefer to dress in black and gold and have a penchant for funerary items. They’re extremely in tune with the spirit world so they gain a bonus of +1 to any checks involving Spirit.</p>"
"Anubite: Improved","Heroic, Anubite, Spirit d8+\n","Edge - Racial\n","<p>The hero’s racial Edge improves in three ways: He now has +2 to his Spirit-based checks, he can now tell the time of death and soul proximity of a corpse as long as it’s no older than a week, and he can also now speak to the dead as long as they haven’t been dead more than a day.</p>"
"Anubite: Mastery","Demigod, Anubite: Improved, Spirit d10+\n","Edge - Racial\n","<p>The demigod’s racial Edge improves in three ways: The demigod now has +3 to his Spirit based checks, he can now tell the time of death and soul proximity of a corpse as long as it’s no older than a month, and he can now speak to the dead as long as the spirit hasn’t been dead for more than a week.</p>"
"Aspect Form","Demigod, Patron God (any Techno-Egyptian)","Edge - Racial","<p>If your character isn’t from one of the native races of the Techno-Egyptian realm, he may still be able to get some of those sweet benefits with the help of a patron god. By the time a character’s a demigod he’s starting to come into his power, so if he has a patron god this is where he can get an extra boost, by taking on the form of his god’s aspect. Not only can it put the scare on the bad guys, it looks cool to boot. Take Anubis as your character’s patron god and he’ll be able to shape-change to a sweet jackalheaded human, glowing with power and ready to unleash some righteous judgment. Your demigod wants to get in touch with his dexterous side? Pick Bast and prepare for him to move like a cat on a hot tin roof.</p><p>Aspect of Ra:</p><p>Demigod’s form changes to a golden Pharaoh infused with light, +1 to all trait checks.Aspect of Bast:</p><p>Demigod’s form changes to a humanoid cat Pharaoh, +2 to all Agility and Spirit-based rolls.Aspect of Anubis:</p><p>Demigod’s form changes to a humanoid jackal Pharaoh, +2 to all Vigor and Strengthbased rolls.Aspect of Thoth:</p><p>Demigod’s form changes to a humanoid bird (Ibis) or ape (Baboon) Pharaoh, +2 to all Smarts and Spirit-based rolls.Aspect of Horus:</p><p>Demigod’s form changes to a humanoid falcon Pharaoh, +2 to all Agility and Smartsbased rolls.Aspect of Osiris:</p><p>Demigod’s form changes to a greenskinned Pharaoh, +2 to all Spirit and Vigor-based rolls.Aspect of Hathor:</p><p>Demigod’s form changes to a bull or alluring humanoid Pharaoh, +2 to all Vigor rolls and +4 to Charisma.Aspect of Ptah:</p><p>Demigod’s form changes to a Mummified Pharaoh, +2 to all Smarts-based rolls and +4 to all Repair rolls. These bonuses stack.Aspect of Isis:</p><p>Demigod’s form changes to a glowing Pharaoh, +2 to all Spirit-based rolls and +4 to Charisma.Aspect of Sekhmet:</p><p>Demigod’s form changes to a humanoid lion Pharaoh, +2 to all Agility-based rolls and +4 to all Fighting rolls. These bonuses stack.Aspect of Sobek:</p><p>Demigod’s form changes to a humanoid crocodile Pharaoh, +2 to all Agility-based rolls and gains Fear –2.</p>"
"Assistant","Telesma","Edge - Telesma","<p>Your character’s Telesma can concentrate on maintaining his magic Powers for him, reducing the concentration penalty by 1 per Telesma rank. It also grants +2 to checks made to keep Powers going when your character suffers damage.</p>"
"Attribute Synergy","Telesma","Edge - Telesma","<p>Your character’s Telesma is particularly adept in one of the five core Attributes and able to guide and influence the same Attribute in your character, increasing his Wild Die one step when rolling that Attribute. This option can be taken multiple times, applying to a new Attribute each time.</p>"
"Balm","Telesma","Edge - Telesma","<p>Your character’s Telesma can soothe his Fatigue, reducing the Fatigue track by a single level once per day.</p>"
"Bastet","Agility d6+\n","Edge - Background, Racial\n","<p>The graceful and feline children of the goddess Bast, the Bastet share their mother’s looks right down to the cat head. Males tend to be built a little bigger than females and have a more lion-style mane of hair compared to the women. They all have the upper and lower body of a person and the head of a cat. They’re lightly muscular and have a variety of fur and eye colors. They’re very agile and anything they do involving an Agility check gains a bonus of +1. The children of Bast tend to dress fairly provocatively — the women prefer clothes which swish or cling.</p>"
"Forced Manifestation","Telesma","Edge - Telesma","<p>Your character’s Telesma can trick, tear, or finagle spirits into the physical world. This causes the targeted spirit to become dual-aligned (see page 11). Doing so costs your character 5 Pulse. This effect lasts for five Rounds, and can be extended another 5 Rounds by paying an extra 5 Pulse.</p>"
